djvulibre-devel,pkgconfig(ddjvuapi)
dotconf-devel,pkgconfig(dotconf)
e2fsprogs-devel,pkgconfig(e2p)
e2fsprogs-devel,pkgconfig(ext2fs)
ecryptfs-utils-devel,pkgconfig(libecryptfs)
eggdbus-devel,pkgconfig(eggdbus-1)
enchant-devel,pkgconfig(enchant)
eog-devel,pkgconfig(eog)
esound-devel,pkgconfig(esound)
evince-devel,pkgconfig(evince-document-2.30)
evince-devel,pkgconfig(evince-view-2.30)
evolution-data-server-devel,pkgconfig(camel-1.2)
evolution-data-server-devel,pkgconfig(camel-provider-1.2)
evolution-data-server-devel,pkgconfig(evolution-data-server-1.2)
evolution-data-server-devel,pkgconfig(libebackend-1.2)
evolution-data-server-devel,pkgconfig(libebook-1.2)
evolution-data-server-devel,pkgconfig(libecal-1.2)
evolution-data-server-devel,pkgconfig(libedata-book-1.2)
evolution-data-server-devel,pkgconfig(libedata-cal-1.2)
evolution-data-server-devel,pkgconfig(libedataserver-1.2)
evolution-data-server-devel,pkgconfig(libedataserverui-1.2)
evolution-data-server-devel,pkgconfig(libegroupwise-1.2)
evolution-devel,pkgconfig(evolution-calendar)
evolution-devel,pkgconfig(evolution-mail)
evolution-devel,pkgconfig(evolution-plugin)
evolution-devel,pkgconfig(evolution-shell)
exempi-devel,pkgconfig(exempi-2.0)
exiv2-devel,pkgconfig(exiv2)
farsight2-devel,pkgconfig(farsight2-0.10)
farstream-devel,pkgconfig(farstream-0.1)
fennec-qt-devel,pkgconfig(libxul)
fennec-qt-devel,pkgconfig(libxul-embedding)
fennec-qt-devel,pkgconfig(mozilla-gtkmozembed)
fennec-qt-devel,pkgconfig(mozilla-gtkmozembed-embedding)
fennec-qt-devel,pkgconfig(mozilla-js)
fennec-qt-devel,pkgconfig(mozilla-plugin)
finch-devel,pkgconfig(finch)
finch-devel,pkgconfig(gnt)
flac-devel,pkgconfig(flac)
flac-devel,pkgconfig(flac++)
fontconfig-devel,pkgconfig(fontconfig)
fontforge-devel,pkgconfig(fontforge)
freetype-devel,pkgconfig(freetype2)
fribidi-devel,pkgconfig(fribidi)
fuse-devel,pkgconfig(fuse)
gamin-devel,pkgconfig(gamin)
gammu-devel,pkgconfig(gammu)
gammu-devel,pkgconfig(gammu-smsd)
garage-client-services-devel,pkgconfig(garage-client-services)
gc-devel,pkgconfig(bdw-gc)
gconf-sharp2,pkgconfig(gconf-sharp-2.0)
gconf-sharp2,pkgconfig(gconf-sharp-peditors-2.0)
gd-devel,pkgconfig(gdlib)
gedit-devel,pkgconfig(gedit-2.20)
gegl-devel,pkgconfig(gegl)
geoclue-devel,pkgconfig(geoclue)
gimp-devel,pkgconfig(gimp-2.0)
gimp-devel,pkgconfig(gimpthumb-2.0)
gimp-devel,pkgconfig(gimpui-2.0)
glade-sharp2,pkgconfig(glade-sharp-2.0)
glade3-libgladeui-devel,pkgconfig(gladeui-1.0)
glew-devel,pkgconfig(glew)
glib-sharp2,pkgconfig(glib-sharp-2.0)
glib2-devel,pkgconfig(gio-2.0)
glib2-devel,pkgconfig(gio-unix-2.0)
glib2-devel,pkgconfig(glib-2.0)
glib2-devel,pkgconfig(gmodule-2.0)
glib2-devel,pkgconfig(gmodule-export-2.0)
glib2-devel,pkgconfig(gmodule-no-export-2.0)
glib2-devel,pkgconfig(gobject-2.0)
glib2-devel,pkgconfig(gthread-2.0)
glibmm-devel,pkgconfig(giomm-2.4)
glibmm-devel,pkgconfig(glibmm-2.4)
gmime-devel,pkgconfig(gmime-2.6)
gnet2-devel,pkgconfig(gnet-2.0)
gnome-bluetooth-libs-devel,pkgconfig(gnome-bluetooth-1.0)
gnome-control-center-netbook-devel,pkgconfig(gnome-keybindings)
gnome-control-center-netbook-devel,pkgconfig(gnome-window-settings-2.0)
gnome-control-center-netbook-devel,pkgconfig(libgnome-control-center-extension)
gnome-desktop-devel,pkgconfig(gnome-desktop-2.0)
gnome-disk-utility-devel,pkgconfig(gdu)
gnome-disk-utility-ui-devel,pkgconfig(gdu-gtk)
gnome-doc-utils-stylesheets,pkgconfig(gnome-doc-utils)
gnome-doc-utils-stylesheets,pkgconfig(xml2po)
gnome-icon-theme,pkgconfig(gnome-icon-theme)
gnome-keyring-devel,pkgconfig(gcr-0)
gnome-keyring-devel,pkgconfig(gp11-0)
gnome-media-devel,pkgconfig(gnome-media-profiles)
gnome-menus-devel,pkgconfig(libgnome-menu)
gnome-mime-data,pkgconfig(gnome-mime-data-2.0)
gnome-panel-devel,pkgconfig(libpanelapplet-2.0)
gnome-python2-desktop,pkgconfig(gnome-python-desktop-2.0)
gnome-python2-devel,pkgconfig(gnome-python-2.0)
gnome-screensaver,pkgconfig(gnome-screensaver)
